29.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
12:33:01.15 (15404049)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (20555275)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (20778881)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (20966489)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (21021926)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (21116578)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (21135357)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (21181625)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (22424222)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (26579085)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (30051186)|SOQL_EXECUTE_BEGIN|[9]|Aggregations:0|SELECT id, sf4twitter__Username__c FROM Twitter_Account__c 
12:33:01.15 (35390016)|SOQL_EXECUTE_END|[9]|Rows:1
12:33:01.15 (36701931)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (37830380)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (37865357)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (37930822)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (37992932)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (38053915)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (40622039)|SOQL_EXECUTE_BEGIN|[660]|Aggregations:0|SELECT sf4twitter__Username__c, sf4twitter__Unknown_Twitter_Usernames__c, sf4twitter__Twitter_Max_Twitter__c, sf4twitter__Partial_Twitter_Max_Twitter__c, sf4twitter__Twitter_Max_Message__c, sf4twitter__Partial_Twitter_Max_Message__c, SystemModstamp, sf4twitter__Password__c, OwnerId, Name, LastModifiedDate, LastModifiedById, IsDeleted, Id, sf4twitter__Enable_Auto_Case_Creation__c, CreatedDate, sf4twitter__Active__c, CreatedById, sf4twitter__Bit_ly_Username__c, sf4twitter__Bit_ly_Password__c, sf4twitter__associate_DM__c, sf4twitter__Send_Error_Email__c, sf4twitter__associate_cases_same_username__c, sf4twitter__closed_case_duration__c, sf4twitter__ignore_maxid__c, sf4twitter__Results_Per_Page__c, sf4twitter__OAuth_Secret__c, sf4twitter__OAuth_Token__c, sf4twitter__Tweet_Id_Threshold__c, sf4twitter__Direct_Message_Id_Threshold__c, sf4twitter__Last_Tweet_Ids__c, sf4twitter__Last_DM_Ids__c, sf4twitter__PartialTwitterMinMessage__c, sf4twitter__PartialTwitterMinTweets__c FROM Twitter_Account__c WHERE Id = :tmpVar1 LIMIT 1
12:33:01.15 (50037686)|SOQL_EXECUTE_END|[660]|Rows:1
12:33:01.15 (50207042)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (50263067)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (50556512)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (50977534)|SOQL_EXECUTE_BEGIN|[459]|Aggregations:0|SELECT Id, CreatedById FROM AsyncApexJob WHERE MethodName = :tmpVar1
12:33:01.15 (91142376)|SOQL_EXECUTE_END|[459]|Rows:2123
12:33:01.15 (97455259)|SOQL_EXECUTE_BEGIN|[462]|Aggregations:0|SELECT Id, Username, IsActive FROM User WHERE Id = :tmpVar1
12:33:01.15 (102978796)|SOQL_EXECUTE_END|[462]|Rows:1
12:33:01.15 (105423512)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (105517588)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (107513825)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (107533079)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (107561864)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (107576932)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (107649850)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (107941883)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (114269084)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (114436887)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (114712741)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (114783042)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (114819552)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (114872132)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (115662375)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (129850730)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (130649096)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (130692515)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (130990372)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (131364215)|SOQL_EXECUTE_BEGIN|[9]|Aggregations:0|SELECT id, sf4twitter__Username__c FROM Twitter_Account__c 
12:33:01.15 (135071552)|SOQL_EXECUTE_END|[9]|Rows:1
12:33:01.15 (136351575)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (136388830)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (136462488)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (137273606)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (137699676)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (141713927)|SOQL_EXECUTE_BEGIN|[404]|Aggregations:0|SELECT id, name FROM Account WHERE name = :tmpVar1 LIMIT 1
12:33:01.15 (149570627)|SOQL_EXECUTE_END|[404]|Rows:0
12:33:01.15 (149730278)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (149894051)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150046744)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150120079)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150192586)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150261669)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150333477)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150432486)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150559578)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150636435)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150716717)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150789710)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150868267)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (150934289)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151004670)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151077913)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151146863)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151214983)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151285916)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151355130)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151423594)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151784198)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (151819770)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (153551213)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (153680024)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (154204288)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (154248341)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (154286238)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (156349377)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (156405042)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (156461854)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (156808205)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (156895933)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (156932168)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (156983272)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157030990)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157066752)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157092215)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157148394)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157180441)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157207838)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157370265)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157394765)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157650594)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157687661)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157730825)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157779325)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157817727)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157851786)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157884972)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157910339)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157935321)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157962174)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (157989009)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (158057487)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (158157196)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (159058057)|SOQL_EXECUTE_BEGIN|[47]|Aggregations:0|SELECT Id, sf4twitter__Username__c, sf4twitter__Valid__c, sf4twitter__Password__c, sf4twitter__Bit_ly_Password__c, sf4twitter__OAuth_Token__c, sf4twitter__OAuth_Secret__c FROM Twitter_Account__c WHERE (Id = :tmpVar1 AND Valid__c = TRUE AND Active__c = TRUE) LIMIT 1
12:33:01.15 (163662543)|SOQL_EXECUTE_END|[47]|Rows:1
12:33:01.15 (164499361)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (175139842)|ENTERING_MANAGED_PKG|sf4twitter
12:33:01.15 (175226390)|ENTERING_MANAGED_PKG|sf4twitter
